STATION,NAME,DATE,AWND,PRCP,TMAX,TMIN
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/1/2018,0.22,0,71,47
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/2/2018,0.67,0,78,52
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/3/2018,0.22,0,74,53
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/4/2018,0.89,0,75,53
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/5/2018,0.89,0,73,54
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/6/2018,0.67,0,68,56
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/7/2018,0.67,0,74,58
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/8/2018,3.58,0.32,68,61
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/9/2018,2.91,1.45,64,51
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/10/2018,0.67,0,66,48
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/11/2018,0.67,0,70,49
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/12/2018,0,0,72,50
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/13/2018,0.22,0,84,53
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/14/2018,0.67,0,83,56
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/15/2018,0.67,0,72,51
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/16/2018,0.67,0,72,52
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/17/2018,0.22,0,78,52
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/18/2018,0.67,0,76,54
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/19/2018,1.12,0,65,53
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/20/2018,5.82,0,62,51
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/21/2018,1.57,0,64,42
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/22/2018,1.34,0,69,44
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/23/2018,1.12,0,75,46
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/24/2018,2.68,0,75,52
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/25/2018,1.57,0,63,49
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/26/2018,1.57,0,68,46
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/27/2018,0.45,0,74,49
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/28/2018,0.67,0,83,49
