date, pm25, pm10, o3, no2, so2, co
5/2/2020,55,29,34,9, ,2
5/3/2020,48,22,27,6,1,2
5/4/2020,37,34,39,12,1,3
5/5/2020,56,35,47,17, ,4
5/6/2020,57,37,52,21, ,4
5/7/2020,55,37,64,20, ,4
5/8/2020,59,43,25,25, ,6
5/9/2020,78, , , , , 
4/2/2020,49,25,29,5, ,1
4/3/2020,47,28,32,11, ,2
4/4/2020,50, ,30,7, ,2
4/8/2020,13,7,28,8, ,2
4/9/2020,15,5,22,6, ,1
4/10/2020,11,6,26,8, ,2
4/11/2020,12,13,30,8, ,2
4/12/2020,33,14,23,4, ,1
4/13/2020,29,10,26,6, ,2
4/14/2020,21,19,29,11, ,3
4/15/2020,34,21,37,14, ,3
4/16/2020,35,25,34,11, ,3
4/17/2020,44,17,25,7, ,2
4/18/2020,30,12,27,3, ,1
4/19/2020,21,13,28,1, ,1
4/20/2020,19,20,27,6, ,2
4/21/2020,30,26,28,8,2,2
4/22/2020,37,26,35,11, ,3
4/23/2020,43,39,35,19,1,3
4/24/2020,59,31,43,13,1,3
4/25/2020,49,31,67,12,1,2
4/26/2020,56,29,54,13,1,3
4/27/2020,61,32,38,14,1,3
4/28/2020,60,34,28,15,1,3
4/29/2020,62,33,32,12, ,2
4/30/2020,68,32,30,9, ,2
5/1/2020,65,31,33,9, ,2
3/2/2020,38,22,17,15, ,5
3/3/2020,31,28,25,22,1,4
3/4/2020,38,39,24,18,1,5
3/5/2020,59,40,31,17, ,5
3/6/2020,64,37,26,17,1,5
3/7/2020,63,13,25,6, ,2
3/8/2020,25,8,25,7, ,2
3/9/2020,19,20,21,13, ,3
3/10/2020,29,10,13,9, ,2
3/11/2020,25,14,19,9, ,2
3/12/2020,27,18,8,16, ,5
3/13/2020,38,10,14,14, ,2
3/14/2020,31,11,23,12, ,2
3/15/2020,30,10,29,5, ,2
3/16/2020,22,22,22,11, ,3
3/17/2020,32,11,25,13, ,3
3/18/2020,24,17,28,13, ,3
3/19/2020,28,14,24,11, ,3
3/20/2020,24,16,25,8, ,2
3/21/2020,21,11,29,6, ,2
3/22/2020,26,11,26,6, ,2
3/23/2020,21,9,29,4, ,2
3/24/2020,15,15,27,8, ,2
3/25/2020,23,11,28,4, ,1
3/26/2020,16,11,28,7, ,1
3/27/2020,17,18,30,10, ,2
3/28/2020,27,20,32,6, ,1
3/29/2020,34,23,31,6, ,2
3/30/2020,41,21,30,8, ,2
3/31/2020,39,25,27,15, ,3
4/1/2020,43,25,31,14,1,2
2/2/2020,34,26,21,19, ,5
2/3/2020,47,28,30,6, ,2
2/4/2020,16,33,10,33, ,6
2/5/2020,31,24,16,28, ,5
2/6/2020,26,32,24,25, ,7
2/7/2020,45,36,27,27, ,7
2/8/2020,58,39,32,23, ,8
2/9/2020,70,20,27,12, ,2
2/10/2020,46,25,24,23, ,5
2/11/2020,36,34,27,24, ,4
2/12/2020,34,39,24,24, ,5
2/13/2020,45,42,28,20, ,5
2/14/2020,56,42,29,25, ,7
2/15/2020,63,38,29,22, ,6
2/16/2020,64,35,36,19,1,6
2/17/2020,63,38,33,24,1,7
2/18/2020,70,41,28,20, ,5
2/19/2020,71,43,29,15, ,4
2/20/2020,77,39,30,26, ,6
2/21/2020,64,32,31,24, ,5
2/22/2020,47,16,26,6, ,1
2/23/2020,32,23,27,10, ,3
2/24/2020,41,34,26,17,1,6
2/25/2020,58,33,29,24,1,7
2/26/2020,49,34,26,26, ,7
2/27/2020,42,33,23,29, ,7
2/28/2020,34,26,25,24,1,5
2/29/2020,29,24,30,15, ,4
3/1/2020,45,22,29,6, ,2
1/2/2020,63,32,18,24,1,7
1/3/2020,63,31,12,32,1,8
1/4/2020,54,38,17,29,1,9
1/5/2020,68,29,20,25,1,8
1/6/2020,62,26,20,29,1,7
1/7/2020,40,25,17,27,1,5
1/8/2020,28,28,18,24,1,6
1/9/2020,49,26,21,22,1,5
1/10/2020,45,27,15,25,1,7
1/11/2020,47,28,19,21, ,7
1/12/2020,55,27,26,17, ,5
1/13/2020,58,33,24,21, ,6
1/14/2020,61,34,22,24, ,7
1/15/2020,62,43,21,26, ,8
1/16/2020,81,35,23,21, ,6
1/17/2020,70,16,21,19, ,4
1/18/2020,30,24,21,23, ,5
1/19/2020,32,23,18,25, ,6
1/20/2020,32,31,14,28, ,7
1/21/2020,60,17,23,17, ,4
1/22/2020,39,26,18,21, ,5
1/23/2020,47,29,19,25, ,8
1/24/2020,48,30,12,30, ,8
1/25/2020,53,39,13,29, ,9
1/26/2020,85,44,21,16, ,4
1/27/2020,110,38,17,25, ,6
1/28/2020,70,25,12,30, ,6
1/29/2020,33,38,24,25, ,5
1/30/2020,37,38,19,29, ,7
1/31/2020,35,35,20,30, ,9
2/1/2020,40,26,26,26, ,7
10/2/2019,44,34,43,21,1,5
10/3/2019,51,35,42,24,1,6
10/4/2019,52,35,33,22,1,6
10/5/2019,56,38,55,23,1,6
10/6/2019,58,36,73,23,1,6
10/7/2019,61,35,46,27,1,6
10/8/2019,58,34,33,25,1,6
10/9/2019,60,30,35,12,1,2
10/10/2019,58,41,36,16,1,3
10/11/2019,55,44,39,27,1,6
10/12/2019,48,43,54,23,1,6
10/13/2019,71,46,41,21,1,6
10/14/2019,70,40,37,16,1,4
10/15/2019,58,46,38,26,1,6
10/16/2019,67,40,36,30,1,6
10/17/2019,55,45,38,19,1,3
10/18/2019,63,38,32,18,1,4
10/19/2019,50,33,33,21,1,6
10/20/2019,52,34,35,21,1,5
10/21/2019,51,29,38,24,1,5
10/22/2019,34,34,38,31,1,7
10/23/2019,44,40,38,38,1,8
10/24/2019,56,46,35,39,1,10
10/25/2019,57,41,20,34,1,9
10/26/2019,43,32,36,26,2,6
10/27/2019,41,31,32,8,1,2
10/28/2019,50,44,35,24,1,6
10/29/2019,58,53,28,26,1,6
10/30/2019,56,53,31,21,1,4
10/31/2019,41,40,30,27,1,6
11/1/2019,43,36,27,28,1,6
11/2/2019,37,47,31,32,1,7
11/3/2019,71,41,38,30,1,7
11/4/2019,65,45,40,33,1,8
11/5/2019,67,43,36,32,1,8
11/6/2019,64,46,25,29,1,7
11/7/2019,73,53,33,27,1,7
11/8/2019,96,47,28,37,1,9
11/9/2019,67,31,30,27,1,7
11/10/2019,43,36,33,20,1,6
11/11/2019,68,41,35,15,1,4
11/12/2019,79,40,31,24,1,8
11/13/2019,75,39,18,22,1,6
11/14/2019,79,36,24,21, ,5
11/15/2019,70,35,13,22, ,6
11/16/2019,65,40,30,26,1,8
11/17/2019,68,27,32,26,1,7
11/18/2019,40,28,32,30,1,5
11/19/2019,32,37,21,32,1,7
11/20/2019,52,19,26,11, ,2
11/21/2019,31,19,23,16,1,3
11/22/2019,35,28,21,22,1,5
11/23/2019,45,23,27,25,1,6
11/24/2019,42,21,30,22,1,6
11/25/2019,38,30,25,24,1,6
11/26/2019,51,67,24,21,1,4
11/27/2019,46,23,21,22, ,3
11/28/2019,27,6,28,6, ,2
11/29/2019,18,12,26,14, ,3
11/30/2019,28,14,20,14,1,4
12/1/2019,31,12,17,15,1,3
12/2/2019,26,24,13,25,1,5
12/3/2019,42,34,2,33,1,9
12/4/2019,54,14,10,23, ,4
12/5/2019,39,20,18,19,1,5
12/6/2019,38,22,7,26,1,6
12/7/2019,44,12,14,14, ,3
12/8/2019,29,14,23,12, ,3
12/9/2019,33,28,13,22,1,6
12/10/2019,43,30,11,24,1,7
12/11/2019,50,30,15,25,1,8
12/12/2019,52,45,9,35,1,9
12/13/2019,78,47,10,31,1,12
12/14/2019,85,37,9,21, , 
12/15/2019,79,16,29,11, , 
12/16/2019,25,20,20,26,1, 
12/17/2019,31,26,22,26,1, 
12/18/2019,32,28,15,31,1,11
12/19/2019,32,35,12,34,1,11
12/20/2019,55,26,18,29,1, 
12/21/2019,35,27,15,30,1,11
12/22/2019,38,25,26,19,1,3
12/23/2019,44,8,25,10, ,1
12/24/2019,26,15,22,15, ,4
12/25/2019,40,13,23,8, ,1
12/26/2019,34,9,28,12, ,2
12/27/2019,24,19,15,24, ,5
12/28/2019,36,22,20,20,1,5
12/29/2019,46,25,22,19, ,6
12/30/2019,56, , , , , 
7/2/2019,58,33,39,13,1,3
7/3/2019,61,35,34,10,1,2
7/4/2019,61,38,36,5,1,2
7/5/2019,73,48,36,10, ,2
7/6/2019,97,31,37,8,1,2
7/7/2019,64,23,37,5, ,2
7/8/2019,55,25,33,8,1,2
7/9/2019,53,30,40,8,1,2
7/10/2019,60,30,39,10,1,3
7/11/2019,59,36,37,18,1,4
7/12/2019,65,37,42,17,1,4
7/13/2019,67,36,50,15,1,4
7/14/2019,68,29,45,8, ,3
7/15/2019,67,33,40,17,1,5
7/16/2019,71,42,39,23,1,5
7/17/2019,72,32,32,11,1,3
7/18/2019,60,29,30,10,1,3
7/19/2019,53,20,27,9,1,2
7/20/2019,43,22,33,7,1,2
7/21/2019,51,17,28,5,1,2
7/22/2019,43,28,36,13,1,4
7/23/2019,57,27,44,15,1,4
7/24/2019,54,29,42,17,1,4
7/25/2019,55,35,42,21,1,4
7/26/2019,60,36,39,19,1,4
7/27/2019,64,32,42,17,1,4
7/28/2019,59,28,35,11,1,3
7/29/2019,60,32,38,14,1,3
7/30/2019,67,32,41,11,1,3
7/31/2019,66,33,34,7, ,3
8/1/2019,65,31,39,14,1,4
8/2/2019,55,32,39,18,1,4
8/3/2019,58,31,43,17,1,4
8/4/2019,60,23,43,12,1,4
8/5/2019,55,27,37,12,1,4
8/6/2019,54,32,39,14,1,3
